current_time,window_start,avg_traffic,data_count
2012-10-03 23:00:00,2012-10-03 00:00:00,3682.71,24
2012-10-04 00:00:00,2012-10-03 01:00:00,3686.54,24
2012-10-04 01:00:00,2012-10-03 02:00:00,3688.54,24
2012-10-04 02:00:00,2012-10-03 03:00:00,3690.17,24
2012-10-04 03:00:00,2012-10-03 04:00:00,3690.17,24
2012-10-04 04:00:00,2012-10-03 05:00:00,3691.04,24
2012-10-04 05:00:00,2012-10-03 06:00:00,3691.38,24
2012-10-04 06:00:00,2012-10-03 07:00:00,3692.04,24
2012-10-04 07:00:00,2012-10-03 08:00:00,3729.46,24
2012-10-04 08:00:00,2012-10-03 09:00:00,3707.54,24
2012-10-04 09:00:00,2012-10-03 10:00:00,3700.79,24
2012-10-04 10:00:00,2012-10-03 11:00:00,3669.83,24
2012-10-04 11:00:00,2012-10-03 12:00:00,3655.75,24
2012-10-04 12:00:00,2012-10-03 13:00:00,3656.04,24
2012-10-04 13:00:00,2012-10-03 14:00:00,3668.17,24
2012-10-04 14:00:00,2012-10-03 15:00:00,3675,24
2012-10-04 15:00:00,2012-10-03 16:00:00,3675.88,24
2012-10-04 16:00:00,2012-10-03 17:00:00,3682.33,24
2012-10-04 17:00:00,2012-10-03 18:00:00,3710.54,24
2012-10-04 18:00:00,2012-10-03 19:00:00,3722.38,24
2012-10-04 19:00:00,2012-10-03 20:00:00,3718.71,24
2012-10-04 20:00:00,2012-10-03 21:00:00,3724.5,24
2012-10-04 21:00:00,2012-10-03 22:00:00,3732.21,24
2012-10-04 22:00:00,2012-10-03 23:00:00,3741.17,24
2012-10-04 23:00:00,2012-10-04 00:00:00,3747.46,24
2012-10-05 00:00:00,2012-10-04 01:00:00,3748.67,24
2012-10-05 01:00:00,2012-10-04 02:00:00,3749.46,24
2012-10-05 02:00:00,2012-10-04 03:00:00,3752.21,24
2012-10-05 03:00:00,2012-10-04 04:00:00,3752.25,24
2012-10-05 04:00:00,2012-10-04 05:00:00,3776.96,24
2012-10-05 05:00:00,2012-10-04 06:00:00,3767.08,24
2012-10-05 06:00:00,2012-10-04 07:00:00,3760.75,24
2012-10-05 07:00:00,2012-10-04 08:00:00,3745.67,24
2012-10-05 08:00:00,2012-10-04 09:00:00,3726.88,24
2012-10-05 09:00:00,2012-10-04 10:00:00,3730.79,24
2012-10-05 10:00:00,2012-10-04 11:00:00,3737.75,24
2012-10-05 11:00:00,2012-10-04 12:00:00,3751.63,24
2012-10-05 12:00:00,2012-10-04 13:00:00,3783.54,24
2012-10-05 13:00:00,2012-10-04 14:00:00,3816.42,24
2012-10-05 14:00:00,2012-10-04 15:00:00,3841.71,24
2012-10-05 15:00:00,2012-10-04 16:00:00,3859,24
2012-10-05 16:00:00,2012-10-04 17:00:00,3849.71,24
2012-10-05 17:00:00,2012-10-04 18:00:00,3854.38,24
2012-10-05 18:00:00,2012-10-04 19:00:00,3874.25,24
2012-10-05 19:00:00,2012-10-04 20:00:00,3897.58,24
2012-10-05 20:00:00,2012-10-04 21:00:00,3911.21,24
2012-10-05 21:00:00,2012-10-04 22:00:00,3917.42,24
2012-10-05 22:00:00,2012-10-04 23:00:00,3936.5,24
2012-10-05 23:00:00,2012-10-05 00:00:00,3964.25,24
2012-10-06 00:00:00,2012-10-05 01:00:00,3989.42,24
2012-10-06 01:00:00,2012-10-05 02:00:00,4003.17,24
2012-10-06 02:00:00,2012-10-05 03:00:00,4010.13,24
2012-10-06 03:00:00,2012-10-05 04:00:00,4014.71,24
2012-10-06 04:00:00,2012-10-05 05:00:00,3972.33,24
2012-10-06 05:00:00,2012-10-05 06:00:00,3897.29,24
2012-10-06 06:00:00,2012-10-05 07:00:00,3722.92,24
2012-10-06 07:00:00,2012-10-05 08:00:00,3533.08,24
2012-10-06 08:00:00,2012-10-05 09:00:00,3441.75,24
2012-10-06 09:00:00,2012-10-05 10:00:00,3394.04,24
2012-10-06 10:00:00,2012-10-05 11:00:00,3397.83,24
2012-10-06 11:00:00,2012-10-05 12:00:00,3396.75,24
2012-10-06 12:00:00,2012-10-05 13:00:00,3388.38,24
2012-10-06 13:00:00,2012-10-05 14:00:00,3351.17,24
2012-10-06 14:00:00,2012-10-05 15:00:00,3306.04,24
2012-10-06 15:00:00,2012-10-05 16:00:00,3265.42,24
2012-10-06 16:00:00,2012-10-05 17:00:00,3221.88,24
2012-10-06 17:00:00,2012-10-05 18:00:00,3163.96,24
2012-10-06 18:00:00,2012-10-05 19:00:00,3121.38,24
2012-10-06 19:00:00,2012-10-05 20:00:00,3112.92,24
2012-10-06 20:00:00,2012-10-05 21:00:00,3104.42,24
2012-10-06 21:00:00,2012-10-05 22:00:00,3105.29,24
2012-10-06 22:00:00,2012-10-05 23:00:00,3136.63,24
2012-10-06 23:00:00,2012-10-06 00:00:00,3141.17,24
2012-10-07 00:00:00,2012-10-06 01:00:00,3141.25,24
2012-10-07 01:00:00,2012-10-06 02:00:00,3150.08,24
2012-10-07 02:00:00,2012-10-06 03:00:00,3153.46,24
2012-10-07 03:00:00,2012-10-06 04:00:00,3147,24
2012-10-07 04:00:00,2012-10-06 05:00:00,3142.88,24
2012-10-07 05:00:00,2012-10-06 06:00:00,3140.33,24
2012-10-07 06:00:00,2012-10-06 07:00:00,3146.83,24
